TOTAL_NUMBER,TOTAL_VALUE,OFFENCE_FINYEAR,OFFENCE_MONTH,ISSUING_AGENCY,OFFENCE_DESC
4,1760,2015-2016,Dec,City of Parramatta,Fail to comply with Food Standards Code - Individual
1,440,2015-2016,Feb,Blue Mountains City Council,Fail to comply with Food Standards Code - Individual
1,880,2015-2016,Feb,Richmond Valley Council,Fail to comply with Food Standards Code - Corporation
4,1760,2015-2016,Mar,Mosman Municipal Council,Fail to comply with Food Standards Code - Individual
19,8360,2015-2016,Mar,Department of Primary Industries,Fail to comply with Food Standards Code - Individual
1,440,2015-2016,Mar,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
4,1760,2015-2016,Apr,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
5,2200,2015-2016,Jun,Blacktown City Council,Fail to comply with Food Standards Code - Individual
2,1760,2016-2017,Sep,Sutherland Shire Council,Fail to notify appropriate enforcement agency - Corporation
1,1320,2016-2017,Oct,Fairfield City Council,Sell food that is unsuitable - Corporation
6,5280,2016-2017,Nov,MidCoast Council,Fail to comply with Food Standards Code - Corporation
2,880,2016-2017,Mar,Port Stephens Council,Fail to comply with Food Standards Code - Individual
1,880,2017-2018,Jul,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Corporation
1,660,2017-2018,Aug,City of Sydney Council,Not appoint food safety supervisor for premises - Corporation
8,7040,2017-2018,Oct,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
1,440,2017-2018,Nov,Cumberland Council,Fail to comply with Food Standards Code - Individual
3,2640,2017-2018,Dec,Cobar Shire Council,Fail to comply with Food Standards Code - Corporation
4,1760,2017-2018,Dec,Mosman Municipal Council,Fail to comply with Food Standards Code - Individual
6,5280,2017-2018,Dec,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
4,3520,2017-2018,Jan,The Hills Shire Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Feb,Canterbury-Bankstown Council,Sell food packaged/labelled contravening Food Standards Code - Corporation
3,2640,2017-2018,Feb,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
5,4400,2017-2018,Mar,Penrith City Council,Fail to comply with Food Standards Code - Corporation
5,4400,2017-2018,Mar,The Hills Shire Council,Fail to comply with Food Standards Code - Corporation
2,880,2017-2018,Feb,Port Stephens Council,Fail to comply with Food Standards Code - Individual
1,440,2017-2018,May,MidCoast Council,Fail to comply with Food Standards Code - Individual
4,1760,2018-2019,Jul,Department of Primary Industries,Fail to comply with Food Standards Code - Individual
2,1760,2018-2019,Aug,Liverpool City Council,Sell food packaged/labelled contravening Food Standards Code - Corporation
2,1760,2018-2019,Aug,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,660,2018-2019,Sep,North Sydney City Council,Not appoint food safety supervisor - mobile catering - Corporation
2,1760,2018-2019,Oct,The Hills Shire Council,Fail to comply with Food Standards Code - Corporation
1,440,2018-2019,Nov,Richmond Valley Council,Fail to comply with Food Standards Code - Individual
15,13200,2018-2019,Nov,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
1,880,2018-2019,Nov,Byron Shire Council,Fail to comply with Food Standards Code - Corporation
4,1760,2012-2013,Feb,City of Sydney Council,Fail to comply with Food Standards Code - Individual
3,1320,2012-2013,Mar,Blue Mountains City Council,Fail to comply with Food Standards Code - Individual
1,880,2012-2013,Mar,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
1,660,2012-2013,Apr,North Sydney City Council,Fail to pay fee required by improvement notice - Individual
1,330,2012-2013,Jun,Inner West Council,Not appoint food safety supervisor for premises - Individual
2,880,2012-2013,May,Liverpool City Council,Fail to comply with Food Standards Code - Individual
2,1320,2012-2013,Jun,Department of Primary Industries,Not comply with requirements of food safety scheme - Individual
1,880,2012-2013,Jun,Yass Valley Council,Fail to comply with Food Standards Code - Corporation
1,1320,2013-2014,Aug,City of Sydney Council,Fail to pay fee required by improvement notice - Corporation
1,1320,2013-2014,Aug,Fairfield City Council,Fail to pay fee required by improvement notice - Corporation
2,880,2013-2014,Dec,Fairfield City Council,Fail to comply with Food Standards Code - Individual
3,1320,2013-2014,Dec,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
8,3520,2013-2014,Jan,City of Sydney Council,Fail to comply with Food Standards Code - Individual
1,660,2013-2014,Mar,Randwick City Council,Laboratory not submit written report within 24 hours - shellfish
2,2640,2013-2014,Apr,MidCoast Council,Fail to pay fee required by improvement notice - Corporation
1,440,2013-2014,May,City of Parramatta,Fail to comply with Food Standards Code - Individual
1,330,2013-2014,Jun,Liverpool City Council,Not appoint food safety supervisor for premises - Individual
2,1760,2014-2015,Jul,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
2,880,2014-2015,Aug,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
4,3520,2014-2015,Sep,Office of Environment and Heritage (NPWS),Fail to comply with Food Standards Code - Corporation
11,9680,2014-2015,Oct,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
6,2640,2014-2015,Oct,City of Sydney Council,Fail to comply with Food Standards Code - Individual
1,660,2014-2015,Dec,Blacktown City Council,Sell food that is unsuitable - Individual
1,330,2014-2015,Feb,Canterbury-Bankstown Council,Not appoint food safety supervisor for premises - Individual
1,880,2014-2015,Mar,Penrith City Council,Fail to comply with Food Standards Code - Corporation
3,2640,2014-2015,May,Burwood Council,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,May,Waverley Council,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,Jun,Penrith City Council,Fail to comply with Food Standards Code - Corporation
1,330,2014-2015,Jun,Blacktown City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
3,1320,2015-2016,Sep,The Hills Shire Council,Fail to comply with Food Standards Code - Individual
2,1760,2015-2016,Sep,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
4,1760,2015-2016,Aug,Central Coast Council,Fail to comply with Food Standards Code - Individual
1,440,2015-2016,Jan,Lane Cove Municipal Council,Fail to notify appropriate enforcement agency - Individual
5,4400,2015-2016,Feb,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,880,2015-2016,Jan,City of Parramatta,Fail to comply with Food Standards Code - Corporation
2,1760,2015-2016,Apr,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
3,3960,2015-2016,Jun,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
1,440,2016-2017,Aug,Willoughby City Council,Fail to comply with Food Standards Code - Individual
1,660,2016-2017,Sep,Northern Beaches Council,Fail to pay fee required by improvement notice - Individual
2,880,2016-2017,Aug,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Individual
4,3520,2016-2017,Sep,City of Parramatta,Fail to comply with Food Standards Code - Corporation
1,1540,2016-2017,Aug,Department of Primary Industries,Fail to comply with a prohibition order - Corporation
4,1760,2016-2017,Oct,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Feb,Bayside Council,Fail to comply with Food Standards Code - Corporation
2,1760,2016-2017,Feb,Port Stephens Council,Fail to comply with Food Standards Code - Corporation
2,1760,2016-2017,Apr,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Mar,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
9,7920,2016-2017,Apr,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,440,2015-2016,May,Cumberland Council,Fail to comply with Food Standards Code - Individual
3,1320,2017-2018,Jul,City of Sydney Council,Fail to comply with Food Standards Code - Individual
3,1980,2017-2018,Aug,City of Sydney Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
3,2640,2017-2018,Aug,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
2,1760,2017-2018,Sep,Strathfield Municipal Council,Fail to comply with Food Standards Code - Corporation
5,4400,2017-2018,Oct,Sutherland Shire Council,Fail to comply with Food Standards Code - Corporation
9,7920,2017-2018,Nov,Bayside Council,Fail to comply with Food Standards Code - Corporation
17,14960,2017-2018,Nov,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Nov,Armidale Regional Council,Fail to comply with Food Standards Code - Corporation
14,6160,2017-2018,Jul,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
3,2640,2017-2018,Jan,Randwick City Council,Fail to comply with Food Standards Code - Corporation
1,1320,2017-2018,Feb,Fairfield City Council,Fail to pay fee required by improvement notice - Corporation
7,3080,2018-2019,Jul,Cumberland Council,Fail to comply with Food Standards Code - Individual
1,440,2018-2019,Nov,City of Sydney Council,Fail to comply with Food Standards Code - Individual
6,5280,2012-2013,Feb,Burwood Council,Fail to comply with Food Standards Code - Corporation
8,7040,2012-2013,Mar,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
4,3520,2012-2013,Mar,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
2,880,2012-2013,Mar,North Sydney City Council,Fail to comply with Food Standards Code - Individual
1,440,2012-2013,Jun,Mosman Municipal Council,Fail to comply with Food Standards Code - Individual
1,880,2012-2013,Jun,Lismore City Council,Fail to comply with Food Standards Code - Corporation
1,1540,2013-2014,Sep,Cobar Shire Council,Sell unsafe food - Corporation
6,2640,2013-2014,Nov,Penrith City Council,Fail to comply with Food Standards Code - Individual
1,440,2013-2014,Jan,Tweed Shire Council,Fail to comply with Food Standards Code - Individual
5,4400,2013-2014,Dec,City of Ryde,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Feb,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
11,9680,2013-2014,Apr,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
6,2640,2013-2014,Mar,Randwick City Council,Fail to comply with Food Standards Code - Individual
2,1760,2013-2014,May,Byron Shire Council,Fail to comply with Food Standards Code - Corporation
1,770,2013-2014,May,Campbelltown City Council,Sell unsafe food - Individual
1,660,2013-2014,Jun,Blacktown City Council,Sell food that is unsuitable - Individual
1,660,2013-2014,Jun,Blacktown City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
2,1760,2014-2015,Oct,Bayside Council,Fail to comply with Food Standards Code - Corporation
3,990,2014-2015,Oct,Cumberland Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
11,4840,2014-2015,Oct,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
5,4400,2014-2015,Nov,Central Coast Council,Fail to comply with Food Standards Code - Corporation
3,2640,2014-2015,Jan,Fairfield City Council,Fail to comply with Food Standards Code - Corporation
3,2640,2014-2015,Dec,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
1,440,2014-2015,Mar,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
4,3520,2014-2015,May,Fairfield City Council,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,Jun,Port Stephens Council,Fail to comply with Food Standards Code - Corporation
1,880,2015-2016,Oct,The Hills Shire Council,Fail to comply with Food Standards Code - Corporation
4,1760,2015-2016,Mar,Cessnock City Council,Fail to comply with Food Standards Code - Individual
1,440,2015-2016,Mar,Wagga Wagga City Council,Fail to comply with Food Standards Code - Individual
9,7920,2015-2016,May,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,1540,2015-2016,May,Bayside Council,Sell unsafe food - Corporation
2,1760,2016-2017,Jul,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Corporation
2,880,2016-2017,Oct,City of Ryde,Fail to comply with Food Standards Code - Individual
2,880,2016-2017,Nov,Central Coast Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Dec,The Hills Shire Council,Fail to comply with Food Standards Code - Corporation
2,880,2016-2017,Dec,Office of Environment and Heritage (NPWS),Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Jan,Port Stephens Council,Fail to comply with Food Standards Code - Corporation
3,2640,2016-2017,Jan,Randwick City Council,Fail to comply with Food Standards Code - Corporation
1,1320,2016-2017,Jan,City of Lake Macquarie Council,Fail to pay fee required by improvement notice - Corporation
1,330,2016-2017,Mar,Cessnock City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
4,3520,2016-2017,Jun,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
13,11440,2017-2018,Aug,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
3,1320,2017-2018,Oct,Port Stephens Council,Fail to comply with Food Standards Code - Individual
4,3520,2017-2018,Mar,Cumberland Council,Fail to comply with Food Standards Code - Corporation
2,880,2017-2018,Mar,Willoughby City Council,Fail to comply with Food Standards Code - Individual
1,440,2017-2018,May,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Individual
6,2640,2017-2018,May,Department of Primary Industries,Fail to comply with Food Standards Code - Individual
9,3960,2018-2019,Aug,Cumberland Council,Fail to comply with Food Standards Code - Individual
2,880,2017-2018,May,Central Coast Council,Fail to comply with Food Standards Code - Individual
1,880,2018-2019,Nov,The Hills Shire Council,Fail to comply with Food Standards Code - Corporation
1,880,2018-2019,Jan,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
4,1760,2015-2016,Sep,Liverpool City Council,Fail to comply with Food Standards Code - Individual
1,660,2015-2016,Nov,Cessnock City Council,Not appoint food safety supervisor for premises - Corporation
1,880,2012-2013,Jun,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
4,3520,2016-2017,May,Cumberland Council,Fail to comply with Food Standards Code - Corporation
5,2200,2013-2014,Jan,Inner West Council,Fail to comply with Food Standards Code - Individual
1,440,2016-2017,May,Inner West Council,Fail to comply with Food Standards Code - Individual
1,440,2014-2015,Sep,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
1,660,2017-2018,May,Department of Primary Industries,Carry on food business/activity without a licence - Individual
1,880,2013-2014,Sep,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
1,1320,2016-2017,Dec,Blacktown City Council,Sell food that is unsuitable - Corporation
3,2640,2016-2017,Jan,Mosman Municipal Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Jan,MidCoast Council,Fail to comply with Food Standards Code - Individual
1,440,2017-2018,Mar,City of Canada Bay Council,Fail to comply with Food Standards Code - Individual
2,3080,2015-2016,Jun,Wagga Wagga City Council,Fail to comply with a prohibition order - Corporation
3,2640,2016-2017,Mar,Newcastle City Council,Fail to comply with Food Standards Code - Corporation
4,3520,2014-2015,Jun,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
1,660,2014-2015,May,Coffs Harbour City Council,Not appoint food safety supervisor for premises - Corporation
1,660,2013-2014,Aug,Cumberland Council,Sell food that is unsuitable - Individual
3,1320,2015-2016,Jan,Burwood Council,Fail to comply with Food Standards Code - Individual
2,2640,2017-2018,Jan,Department of Primary Industries,Handle food in manner likely to render it unsuitable - Corporation
2,1760,2016-2017,Jun,MidCoast Council,Fail to comply with Food Standards Code - Corporation
2,1760,2015-2016,Oct,Georges River Council,Fail to comply with Food Standards Code - Corporation
2,880,2014-2015,Jan,Penrith City Council,Fail to comply with Food Standards Code - Individual
5,2200,2015-2016,Nov,Randwick City Council,Fail to comply with Food Standards Code - Individual
7,6160,2013-2014,Feb,The Hills Shire Council,Fail to comply with Food Standards Code - Corporation
1,1320,2015-2016,Oct,Blacktown City Council,Sell food that is unsuitable - Corporation
4,1760,2012-2013,Jan,City of Sydney Council,Fail to comply with Food Standards Code - Individual
1,1540,2015-2016,Jul,Department of Primary Industries,Sell unsafe food - Corporation
1,1320,2016-2017,Sep,City of Parramatta,Fail to pay fee required by improvement notice - Corporation
2,880,2015-2016,Jun,Department of Primary Industries,Fail to comply with Food Standards Code - Individual
8,7040,2016-2017,Dec,City of Parramatta,Fail to comply with Food Standards Code - Corporation
2,1760,2012-2013,Apr,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2013-2014,Jan,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Mar,Camden Council,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Aug,Waverley Council,Fail to notify appropriate enforcement agency - Corporation
12,10560,2015-2016,Oct,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
1,440,2015-2016,Apr,Port Stephens Council,Fail to comply with Food Standards Code - Individual
1,880,2013-2014,Mar,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
2,880,2014-2015,Feb,Willoughby City Council,Fail to comply with Food Standards Code - Individual
1,660,2013-2014,Mar,Liverpool City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
1,440,2016-2017,Aug,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
2,880,2016-2017,Jun,Waverley Council,Fail to comply with Food Standards Code - Individual
1,440,2012-2013,Feb,Cumberland Council,Fail to comply with Food Standards Code - Individual
1,660,2017-2018,Mar,City of Sydney Council,Not appoint food safety supervisor for premises - Corporation
2,1760,2013-2014,Mar,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Corporation
7,3080,2016-2017,Apr,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
2,880,2012-2013,Jun,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
4,1760,2017-2018,Mar,Penrith City Council,Fail to comply with Food Standards Code - Individual
1,440,2016-2017,Oct,Cumberland Council,Fail to comply with Food Standards Code - Individual
1,880,2015-2016,Aug,Randwick City Council,Fail to comply with Food Standards Code - Corporation
2,880,2015-2016,Jun,Fairfield City Council,Fail to comply with Food Standards Code - Individual
4,3520,2013-2014,Sep,Port Stephens Council,Fail to comply with Food Standards Code - Corporation
2,2640,2015-2016,Jun,Ku-ring-gai Council,Fail to pay fee required by improvement notice - Corporation
2,880,2015-2016,Jun,Richmond Valley Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Jun,Richmond Valley Council,Fail to comply with Food Standards Code - Corporation
5,4400,2017-2018,Dec,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
1,440,2015-2016,Mar,Randwick City Council,Fail to comply with Food Standards Code - Individual
1,880,2012-2013,Apr,Newcastle City Council,Fail to comply with Food Standards Code - Corporation
1,330,2014-2015,Aug,Office of Environment and Heritage (NPWS),Not appoint food safety supervisor for premises - Individual
3,1320,2013-2014,Sep,Blacktown City Council,Fail to comply with Food Standards Code - Individual
1,330,2014-2015,Oct,Fairfield City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
2,1760,2013-2014,Jun,Penrith City Council,Fail to comply with Food Standards Code - Corporation
5,4400,2017-2018,Mar,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
1,440,2015-2016,Dec,Blue Mountains City Council,Fail to comply with Food Standards Code - Individual
1,440,2016-2017,Nov,Cumberland Council,Fail to comply with Food Standards Code - Individual
1,1320,2016-2017,Oct,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
1,1320,2015-2016,Mar,Department of Primary Industries,Handle sell food so as to contravene the food safety scheme - Corporation
1,880,2015-2016,Nov,MidCoast Council,Fail to comply with Food Standards Code - Corporation
1,440,2015-2016,Jul,Blacktown City Council,Fail to comply with Food Standards Code - Individual
2,1760,2015-2016,May,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
1,440,2015-2016,Oct,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
1,440,2013-2014,Dec,Ballina Shire Council,Fail to comply with Food Standards Code - Individual
1,1320,2015-2016,May,Department of Primary Industries,Sell food that is unsuitable - Corporation
9,3960,2014-2015,Feb,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Individual
1,660,2015-2016,Jan,Campbelltown City Council,Fail to pay fee required by improvement notice - Individual
1,1540,2017-2018,Mar,Department of Primary Industries,Falsely describe food in promoting sale of food - Corporation
13,5720,2014-2015,Dec,Fairfield City Council,Fail to comply with Food Standards Code - Individual
20,17600,2014-2015,Nov,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
1,440,2016-2017,Jan,Burwood Council,Fail to comply with Food Standards Code - Individual
3,1320,2018-2019,Aug,Port Stephens Council,Fail to comply with Food Standards Code - Individual
9,7920,2017-2018,Mar,Sutherland Shire Council,Fail to comply with Food Standards Code - Corporation
21,18480,2018-2019,Oct,Cumberland Council,Fail to comply with Food Standards Code - Corporation
11,9680,2015-2016,Mar,Georges River Council,Fail to comply with Food Standards Code - Corporation
1,660,2012-2013,Feb,Camden Council,Not appoint food safety supervisor for premises - Corporation
3,1320,2013-2014,Jan,Queanbeyan City Council,Fail to comply with Food Standards Code - Individual
1,1320,2014-2015,Dec,Byron Shire Council,Fail to pay fee required by improvement notice - Corporation
2,880,2014-2015,Dec,Bathurst Regional Council,Fail to comply with Food Standards Code - Individual
11,9680,2014-2015,Apr,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
4,3520,2015-2016,Feb,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
8,7040,2015-2016,Apr,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,660,2012-2013,Jun,Goulburn Mulwaree Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
1,880,2014-2015,Jan,Penrith City Council,Fail to comply with Food Standards Code - Corporation
5,4400,2013-2014,May,City of Ryde,Fail to comply with Food Standards Code - Corporation
3,3960,2015-2016,Sep,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
1,880,2018-2019,Oct,Ballina Shire Council,Fail to comply with Food Standards Code - Corporation
10,8800,2015-2016,Dec,Penrith City Council,Fail to comply with Food Standards Code - Corporation
1,1540,2015-2016,Jun,City of Parramatta,Handle food in manner likely to render it unsafe - Corporation
1,440,2015-2016,Oct,Camden Council,Fail to comply with Food Standards Code - Individual
1,1540,2015-2016,Mar,Shoalhaven City Council,Falsely describe food in promoting sale of food - Corporation
1,1320,2013-2014,Aug,Ku-ring-gai Council,Fail to pay fee required by improvement notice - Corporation
16,14080,2015-2016,Oct,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
1,660,2016-2017,Mar,Blacktown City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
4,1760,2012-2013,Mar,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Individual
2,880,2016-2017,Jan,Bayside Council,Fail to comply with Food Standards Code - Individual
1,880,2012-2013,Jun,Fairfield City Council,Fail to comply with Food Standards Code - Corporation
4,3520,2015-2016,May,Ku-ring-gai Council,Fail to comply with Food Standards Code - Corporation
12,5280,2013-2014,Aug,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
13,5720,2015-2016,Feb,Department of Primary Industries,Fail to comply with Food Standards Code - Individual
7,6160,2017-2018,Aug,Inner West Council,Fail to comply with Food Standards Code - Corporation
1,660,2015-2016,Apr,Department of Primary Industries,Not comply with requirements of food safety scheme - Individual
1,880,2015-2016,Aug,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Jan,Cowra Shire Council,Fail to comply with Food Standards Code - Individual
1,1320,2018-2019,Aug,Waverley Council,Carry on food business/activity without a licence - Corporation
1,440,2013-2014,Jun,Bayside Council,Fail to comply with Food Standards Code - Individual
1,330,2012-2013,Mar,Kiama Municipal Council,Not appoint food safety supervisor for premises - Individual
4,1760,2015-2016,Oct,Inverell Shire Council,Fail to comply with Food Standards Code - Individual
2,880,2013-2014,Feb,Central Coast Council,Fail to comply with Food Standards Code - Individual
1,1430,2015-2016,Sep,Central Coast Council,Fail to comply with a direction in emergency order - Individual
3,1320,2018-2019,Oct,Eurobodalla Shire Council,Fail to comply with Food Standards Code - Individual
2,880,2015-2016,Dec,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
12,10560,2017-2018,Nov,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2013-2014,Aug,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
6,5280,2014-2015,May,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
1,330,2014-2015,Mar,MidCoast Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
3,1320,2013-2014,Nov,Mosman Municipal Council,Fail to comply with Food Standards Code - Individual
1,1320,2013-2014,Dec,City of Parramatta,Sell food that is unsuitable - Corporation
1,440,2013-2014,Dec,Department of Primary Industries,Fail to comply with Food Standards Code - Individual
8,7040,2018-2019,Nov,Waverley Council,Fail to comply with Food Standards Code - Corporation
3,2640,2014-2015,Apr,Penrith City Council,Fail to comply with Food Standards Code - Corporation
2,880,2017-2018,Apr,Department of Primary Industries,Fail to comply with Food Standards Code - Individual
4,3520,2016-2017,Jul,Strathfield Municipal Council,Fail to comply with Food Standards Code - Corporation
2,1760,2018-2019,Oct,Penrith City Council,Fail to comply with Food Standards Code - Corporation
2,880,2013-2014,Sep,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Aug,Wollongong City Council,Fail to comply with Food Standards Code - Corporation
9,7920,2016-2017,May,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Nov,Inner West Council,Sell food packaged/labelled contravening Food Standards Code - Corporation
3,2640,2016-2017,Sep,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Corporation
2,880,2013-2014,Apr,North Sydney City Council,Fail to comply with Food Standards Code - Individual
1,660,2013-2014,Mar,Department of Primary Industries,Fail to ensure shellfish labelled as prescribed
2,3080,2014-2015,Jun,Department of Primary Industries,Sell unsafe food - Corporation
5,2200,2012-2013,Jan,Liverpool City Council,Fail to comply with Food Standards Code - Individual
5,4400,2015-2016,Jan,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
3,1320,2016-2017,Sep,Blacktown City Council,Fail to comply with Food Standards Code - Individual
3,2640,2015-2016,Aug,Inner West Council,Fail to comply with Food Standards Code - Corporation
9,7920,2014-2015,Oct,Randwick City Council,Fail to comply with Food Standards Code - Corporation
1,1320,2014-2015,May,Blue Mountains City Council,Sell food that is unsuitable - Corporation
1,880,2017-2018,Nov,Randwick City Council,Fail to comply with Food Standards Code - Corporation
4,1760,2015-2016,Nov,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
3,2640,2015-2016,Aug,Georges River Council,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,Jul,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
2,1320,2014-2015,Mar,Richmond Valley Council,Fail to pay fee required by improvement notice - Individual
4,1760,2014-2015,Sep,City of Sydney Council,Fail to comply with Food Standards Code - Individual
12,10560,2014-2015,Jan,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
8,3520,2017-2018,Jan,Fairfield City Council,Fail to comply with Food Standards Code - Individual
3,2640,2016-2017,Apr,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
2,1760,2014-2015,Sep,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
2,880,2015-2016,May,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
2,880,2013-2014,Dec,Cumberland Council,Fail to comply with Food Standards Code - Individual
1,440,2017-2018,Feb,City of Parramatta,Fail to comply with Food Standards Code - Individual
1,330,2016-2017,Mar,Blacktown City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
2,880,2014-2015,Apr,Georges River Council,Fail to comply with Food Standards Code - Individual
2,1760,2014-2015,Mar,Mosman Municipal Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,May,MidCoast Council,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,Jun,Georges River Council,Fail to comply with Food Standards Code - Corporation
3,1320,2015-2016,Jan,Bayside Council,Fail to comply with Food Standards Code - Individual
1,880,2017-2018,Sep,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
2,1320,2014-2015,Nov,Northern Beaches Council,Fail to pay fee required by improvement notice - Individual
5,2200,2015-2016,Apr,Cumberland Council,Fail to comply with Food Standards Code - Individual
1,660,2013-2014,Nov,City of Sydney Council,Fail to pay fee required by improvement notice - Individual
1,440,2017-2018,Nov,Willoughby City Council,Fail to comply with Food Standards Code - Individual
